医療機関名_x,都道府県コード_x,構想区域名称_x,休日に受診した患者延べ数,休日に受診した患者延べ数_うち診察後直ちに入院となった患者延べ数,夜間・時間外に受診した患者延べ数,夜間・時間外に受診した患者延べ数_うち診察後直ちに入院となった患者延べ数,救急車の受入件数,施設全体_医師,施設全体_医師_常勤,院内総病床数,院内総一般病床数,院内総新規入棟患者数（年間）,一般病床_許可病床,療養病床_許可病床,在棟患者延べ数（年間）,新規入棟患者数（年間）,退棟患者数（年間）,急性期病床数の施設全体に占める割合,うち、院内の他病棟からの転棟（年間）,うち、家庭からの入院（年間）,うち、他の病院、診療所からの転院（年間）,うち、介護施設、福祉施設からの入院（年間）,うち、介護医療院からの入院（年間）,うち、院内の出生（年間）,うち、その他（年間）,手術総数,全身麻酔の手術総数,放射線治療,化学療法,構想区域人口,病床利用率,平均存棟日数,新規入棟患者数のうち院内の他病棟からの転棟の割合,新規入棟患者数のうち家庭からの入院の割合,新規入棟患者数のうち他の病院、診療所からの転院の割合,新規入棟患者数のうち介護施設、福祉施設からの入院の割合,新規入棟患者数のうち介護医療院からの入院の割合,新規入棟患者数のうち院内の出生（年間）,新規入棟患者数のうちその他の割合,構想区域人口あたりの救急車受入件数,構想区域全体の総救急車受入件数,個別医療機関の救急車受入数の構想区域全体に占める割合,構想区域内の救急車受入数の最大割合,施設全体の医師のうち常勤医師の割合,構想区域全体の常勤医師数,個別医療機関の常勤医師数の構想区域全体に占める割合,構想区域全体の医師数,個別医療機関の医師数の構想区域全体に占める割合,構想区域人口あたりの常勤医師数,構想区域人口あたりの医師数,病床数あたりの常勤医師数,病床数あたりの医師数,救急受入件数のカテゴリー,うち、他病棟、他院から転棟（年間）,うち、施設からの入院（年間）,新規入棟患者数のうち他病棟、他院から転棟の割合,新規入棟患者数のうち施設からの入院の割合,新規入棟患者のうち休日に受診診察後直ちに入院となった患者の割合,新規入棟患者のうち夜間・時間外に受診診察後直ちに入院となった患者の割合,構想区域人口のカテゴリー
AOI国際病院,14,川崎南部,1213,255,1649,441,2725,59.1,43,328,148,4683,114,0,39388,3585,3610,34.75609756097561,1015,0,0,0,0,0,2570,1362.0,692.0,0.0,127.0,667767,94.65993751502043,10.948714384989577,28.312412831241286,0.0,0.0,0.0,0.0,0.0,71.68758716875871,4.080764697866171,39132,6.96361034447511,25.40631708065011,72.7580372250423,1074,4.003724394785848,1250.7,4.725353801870953,1.608345425874594,1.872958681695861,0.13109756097560976,0.1801829268292683,2001+,1015,0,28.312412831241286,0.0,5.445227418321589,9.417040358744394,60-80万
JA静岡厚生連遠州病院,22,西部,976,281,3481,992,3653,71.1,71,400,340,8158,320,0,78466,6102,5637,80.0,282,5312,47,309,4,148,0,2333.0,1116.0,155.0,355.0,771746,67.17979452054794,13.368430019592811,4.621435594886923,87.05342510652245,0.7702392658144871,5.063913470993117,0.06555227794165848,2.4254342838413634,0.0,4.733422654603976,103724,3.521846438625583,8.977671512861054,99.85935302390999,3047,2.3301608139153265,3531.9,2.0130807780514735,3.9481902076589965,4.576505741526358,0.1775,0.17775,2001+,329,313,5.391674860701409,5.129465748934776,3.4444716842363325,12.159843098798726,60-80万
あいちせぼね病院,23,尾張北部,0,0,0,0,0,12.3,11,48,48,1598,48,0,9412,1598,1604,100.0,0,1597,1,0,0,0,0,582.0,535.0,0.0,0.0,735278,53.72146118721461,5.878825733916302,0.0,99.93742177722153,0.0625782227784731,0.0,0.0,0.0,0.0,0.0,33518,0.0,28.158004654215645,89.43089430894308,708,1.5536723163841808,809.0,1.520395550061805,0.9629011067922608,1.1002641177894619,0.22916666666666666,0.25625000000000003,0-250,1,0,0.0625782227784731,0.0,0.0,0.0,60-80万
あおぞら病院,44,東部,55,40,30,25,60,5.9,3,54,54,480,30,0,10266,446,438,55.55555555555556,0,409,27,9,0,0,1,55.0,5.0,0.0,15.0,1155470,93.75342465753425,23.226244343891402,0.0,91.70403587443946,6.053811659192825,2.0179372197309418,0.0,0.0,0.2242152466367713,0.05192692151245813,101383,0.059181519584151195,4.6812581991063595,50.847457627118644,3546,0.08460236886632826,4366.6,0.13511656666513994,3.068881061386276,3.779068257938328,0.05555555555555555,0.10925925925925926,0-250,27,9,6.053811659192825,2.0179372197309418,8.333333333333332,5.208333333333334,100-200万
あおばウィメンズホスピタル,14,横浜,50,50,108,95,0,3.0,3,20,20,876,20,0,3928,876,876,100.0,0,475,0,0,0,401,0,86.0,55.0,0.0,0.0,3777491,53.80821917808219,4.4840182648401825,0.0,54.22374429223744,0.0,0.0,0.0,45.77625570776256,0.0,0.0,143545,0.0,8.412692883764674,100.0,3362,0.0892325996430696,3981.9,0.075340917652377,0.8900087386045393,1.054112372471569,0.15,0.15,0-250,0,0,0.0,0.0,5.707762557077626,10.844748858447488,201+万
あおもり協立病院,2,青森地域,340,82,911,276,1021,16.0,14,223,135,2776,135,0,37099,2232,2277,60.53811659192826,132,1287,417,396,0,0,0,659.0,0.0,0.0,90.0,295593,75.28970065956368,16.455533377689065,5.913978494623656,57.66129032258065,18.682795698924732,17.741935483870968,0.0,0.0,0.0,3.454073675628313,9071,11.255649873222357,40.20504905743578,87.5,325,4.3076923076923075,348.90000000000003,4.585841215247922,1.0994847645241936,1.1803391825922809,0.06278026905829596,0.07174887892376682,1001-1250,549,396,24.596774193548388,17.741935483870968,2.9538904899135447,9.94236311239193,20-40万
あかびら市立病院,1,中空知,481,71,664,144,337,10.9,8,120,60,927,60,0,16423,829,833,50.0,2,571,70,186,0,0,0,125.0,45.0,0.0,40.0,99784,74.99086757990868,19.762936221419977,0.24125452352231602,68.87816646562122,8.443908323281061,22.43667068757539,0.0,0.0,0.0,3.377294957107352,4964,6.788879935535857,49.33521353746978,73.39449541284402,156,5.128205128205128,164.3,6.6342057212416305,1.563376894091237,1.6465565621742966,0.06666666666666667,0.09083333333333334,251-500,72,186,8.685162846803378,22.43667068757539,7.659115426105717,15.53398058252427,0-20万
あがの市民病院,15,新潟,1817,96,2858,119,599,24.9,18,196,196,2208,52,0,12996,857,856,26.53061224489796,13,613,71,159,0,0,1,60.0,0.0,0.0,40.0,887561,68.47207586933614,15.17338003502627,1.5169194865810969,71.52858809801633,8.284714119019837,18.55309218203034,0.0,0.0,0.11668611435239205,0.6748831911271451,33539,1.7859805003130682,15.874057067891112,72.28915662650603,1034,1.7408123791102514,1360.8,1.829805996472663,1.164990349959045,1.5331903948010333,0.09183673469387756,0.1270408163265306,501-750,84,159,9.801633605600934,18.55309218203034,4.3478260869565215,5.3894927536231885,80-100万
あけぼの病院,13,南多摩,2692,50,345,55,367,25.6,19,98,49,778,49,0,1137,694,692,50.0,7,601,44,42,0,0,0,20.0,5.0,0.0,10.0,1440971,6.357282639083031,1.6406926406926408,1.0086455331412103,86.59942363112391,6.340057636887608,6.051873198847262,0.0,0.0,0.0,0.25468937265219077,33655,1.090476897934928,13.552221066706286,74.21875,623,3.0497592295345104,878.5,2.914058053500285,0.43234735466570806,0.6096583484331052,0.19387755102040816,0.2612244897959184,251-500,51,42,7.348703170028818,6.051873198847262,6.426735218508997,7.069408740359898,100-200万
あさぎり病院,28,東播磨,628,173,1353,538,60,18.6,15,99,99,4219,99,0,25463,4219,4224,100.0,1,3227,15,28,0,929,19,2317.0,244.0,0.0,10.0,716073,70.46630690466307,6.0317422717043705,0.02370229912301493,76.48731926996919,0.355534486845224,0.6636643754444181,0.0,22.01943588528087,0.45034368333728375,0.08379033981172311,31583,0.1899756197954596,24.66833423044043,80.64516129032258,831,1.8050541516245486,923.4,2.014294996751137,1.160496206392365,1.2895333297024185,0.15151515151515152,0.1878787878787879,0-250,16,28,0.3792367859682389,0.6636643754444181,4.100497748281583,12.751836928182033,60-80万
