構想区域人口,手術総数,救急車の受入件数,施設全体_医師_常勤,新規入棟患者数のうち施設からの入院の割合,新規入棟患者数のうち他病棟、他院から転棟の割合,新規入棟患者のうち夜間・時間外に受診診察後直ちに入院となった患者の割合,病床利用率,平均存棟日数,院内総病床数,病床数の全体に占める割合,構想区域人口あたりの医師数,構想区域内の救急車受入数の最大割合
667767,1362.0,2725,43,0.0,28.312412831241286,9.417040358744394,94.65993751502043,10.948714384989577,328,34.75609756097561,1.872958681695861,25.40631708065011
771746,2333.0,3653,71,5.129465748934776,5.391674860701409,12.159843098798726,67.17979452054794,13.368430019592811,400,80.0,4.576505741526358,8.977671512861054
735278,582.0,0,11,0.0,0.0625782227784731,0.0,53.72146118721461,5.878825733916302,48,100.0,1.1002641177894619,28.158004654215645
1155470,55.0,60,3,2.0179372197309418,6.053811659192825,5.208333333333334,93.75342465753425,23.226244343891402,54,55.55555555555556,3.779068257938328,4.6812581991063595
3777491,86.0,0,3,0.0,0.0,10.844748858447488,53.80821917808219,4.4840182648401825,20,100.0,1.054112372471569,8.412692883764674
295593,659.0,1021,14,17.741935483870968,24.596774193548388,9.94236311239193,75.28970065956368,16.455533377689065,223,60.53811659192826,1.1803391825922809,40.20504905743578
99784,125.0,337,8,22.43667068757539,8.685162846803378,15.53398058252427,74.99086757990868,19.762936221419977,120,50.0,1.6465565621742966,49.33521353746978
887561,60.0,599,18,18.55309218203034,9.801633605600934,5.3894927536231885,68.47207586933614,15.17338003502627,196,26.53061224489796,1.5331903948010333,15.874057067891112
1440971,20.0,367,19,6.051873198847262,7.348703170028818,7.069408740359898,6.357282639083031,1.6406926406926408,98,50.0,0.6096583484331052,13.552221066706286
716073,2317.0,60,15,0.6636643754444181,0.3792367859682389,12.751836928182033,70.46630690466307,6.0317422717043705,99,100.0,1.2895333297024185,24.66833423044043
115093,1079.0,409,12,6.90406976744186,13.80813953488372,10.574127906976743,85.43672238280759,12.380622837370241,109,100.0,1.3502124368988557,58.84539147670962
465894,0.0,1344,7,17.513134851138354,1.4010507880910683,13.42248637939574,86.03480192521289,10.227992957746478,168,22.023809523809522,2.9506711827153818,11.872692104800423
501367,0.0,55,7,44.5945945945946,38.682432432432435,4.633920296570899,105.2386882523869,26.408333333333335,187,17.647058823529413,1.6875861394946219,21.46898658520388
325234,716.0,2130,16,5.8599936648717135,10.801393728222997,15.253842571029343,50.59969558599696,6.158577250833642,180,50.0,0.8464674665010424,61.23088685015291
1525152,2507.0,0,9,0.0,0.0,0.7590132827324478,61.762557077625566,5.149819150961355,60,100.0,1.147295482679759,9.988618005580848
410235,237.0,507,9,0.0,17.30981256890849,7.541322314049586,11.675228310502282,4.41792656587473,144,66.66666666666666,0.7242190451814204,25.060623797976415
516816,254.0,451,25,8.063631376851344,13.933077345035654,2.5664955669622023,77.46469968387777,20.218371837183717,286,45.45454545454545,2.473027150862202,21.976645794550688
668916,60.0,0,3,6.382978723404255,14.893617021276595,0.0,63.24552160168598,21.538277511961724,64,60.9375,2.6157245453838747,15.668319979651532
352362,1226.0,350,23,5.582524271844661,5.521844660194175,3.4140531957125844,89.34628056181724,15.718730933496035,199,39.69849246231156,3.105329178515277,29.020194465220644
668916,425.0,85,23,3.0441400304414,9.74124809741248,2.053004852556924,94.81409001956946,11.08695652173913,115,36.52173913043478,2.6157245453838747,15.668319979651532
516816,142.0,276,6,11.11111111111111,12.037037037037036,12.0,70.9771689497717,20.76686706746827,100,60.0,2.473027150862202,21.976645794550688
