TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
休日に受診した患者延べ数,休日に受診した患者延べ数_うち診察後直ちに入院となった患者延べ数,夜間・時間外に受診した患者延べ数,夜間・時間外に受診した患者延べ数_うち診察後直ちに入院となった患者延べ数,救急車の受入件数,施設全体_医師_常勤,施設全体_医師_非常勤,,,,,,,,,,,,,うち、予定外の救急医療入院の患者（年間）,在棟患者延べ数（年間）,退棟患者数（年間）,新規入棟患者数（年間）.1,うち、院内の他病棟からの転棟（年間）,うち、家庭からの入院（年間）,うち、他の病院、診療所からの転院（年間）,うち、介護施設、福祉施設からの入院（年間）,うち、介護医療院からの入院（年間）,うち、院内の出生（年間）,うち、その他（年間）,構想区域人口
60,30,104,40,66,2,1,,,,,,,,,,,,,,,,,,,,#N/A,,,,
64,0,20,10,15,3,3,,,,,,,,,,,,,,,,,,,,,,,,
2459,1052,2882,1181,5674,125,1,,,,,,,,,,,,,,,,,,,,,,,,
2459,1052,2882,1181,5674,125,1.6,,,,,,,,,,,,,,,,,,,,,,,,
2459,1052,2882,1181,5674,125,1.6,,,,,,,,,,,,,,,,,,,,,,,,
2459,1052,2882,1181,5674,125,1.6,,,,,,,,,,,,,,,,,,,,,,,,
2459,1052,2882,1181,5674,125,1.6,,,,,,,,,,,,,,,,,,,,,,,,
2459,1052,2882,1181,5674,125,1.6,,,,,,,,,,,,,,,,,,,,,,,,
2459,1052,2882,1181,5674,125,1.6,,,,,,,,,,,,,,,,,,,,,,,,
2459,1052,2882,1181,5674,125,1,,,,,,,,,,,,,,,,,,,,,,,,
2459,1052,2882,1181,5674,125,1.6,,,,,,,,,,,,,,,,,,,,,,,,
2459,1052,2882,1181,5674,125,1.6,,,,,,,,,,,,,,,,,,,,,,,,
2459,1052,2882,1181,5674,125,1.6,,,,,,,,,,,,,,,,,,,,,,,,
2459,1052,2882,1181,5674,125,1.6,,,,,,,,,,,,,,,,,,,,,,,,
2459,1052,2882,1181,5674,125,1,,,,,,,,,,,,,,,,,,,,,,,,
2459,1052,2882,1181,5674,125,1.6,,,,,,,,,,,,,,,,,,,,,,,,
10,0,20,10,55,10,3,,,,,,,,,,,,,,,,,,,,,,,,
10,0,20,10,55,10,3,,,,,,,,,,,,,,,,,,,,,,,,
10,0,20,10,55,10,3,,,,,,,,,,,,,,,,,,,,,,,,
10,0,20,10,55,10,3,,,,,,,,,,,,,,,,,,,,,,,,
10,0,20,10,55,10,3,,,,,,,,,,,,,,,,,,,,,,,,
10,0,20,10,55,10,3,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,
134,5,0,0,35,4,2.2,,,,,,,,,,,,,,,,,,,,,,,,
145,72,186,90,346,27,4.4,,,,,,,,,,,,,,,,,,,,,,,,
145,72,186,90,346,27,4.4,,,,,,,,,,,,,,,,,,,,,,,,
0,0,45,0,5,4,0.9,,,,,,,,,,,,,,,,,,,,,,,,
114,0,104,0,99,7,2,,,,,,,,,,,,,,,,,,,,,,,,
114,0,104,0,99,7,2.3,,,,,,,,,,,,,,,,,,,,,,,,
87,30,55,35,55,9,2.9,,,,,,,,,,,,,,,,,,,,,,,,
87,30,55,35,55,9,2,,,,,,,,,,,,,,,,,,,,,,,,
87,30,55,35,55,9,2,,,,,,,,,,,,,,,,,,,,,,,,
72,10,55,0,40,9,1,,,,,,,,,,,,,,,,,,,,,,,,
72,10,55,0,40,9,1.4,,,,,,,,,,,,,,,,,,,,,,,,
72,10,55,0,40,9,1,,,,,,,,,,,,,,,,,,,,,,,,
59,0,60,0,45,2,1,,,,,,,,,,,,,,,,,,,,,,,,
59,0,60,0,45,2,1.4,,,,,,,,,,,,,,,,,,,,,,,,
107,35,35,25,55,7,2,,,,,,,,,,,,,,,,,,,,,,,,
107,35,35,25,55,7,2,,,,,,,,,,,,,,,,,,,,,,,,
739,308,938,505,1653,30,0,,,,,,,,,,,,,,,,,,,,,,,,
739,308,938,505,1653,30,0,,,,,,,,,,,,,,,,,,,,,,,,
739,308,938,505,1653,30,0,,,,,,,,,,,,,,,,,,,,,,,,
739,308,938,505,1653,30,0,,,,,,,,,,,,,,,,,,,,,,,,
739,308,938,505,1653,30,0,,,,,,,,,,,,,,,,,,,,,,,,
739,308,938,505,1653,30,0,,,,,,,,,,,,,,,,,,,,,,,,
739,308,938,505,1653,30,0,,,,,,,,,,,,,,,,,,,,,,,,
739,308,938,505,1653,30,0,,,,,,,,,,,,,,,,,,,,,,,,
10,0,25,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,
10,0,25,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,
10,0,25,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,
104,35,78,40,60,0,0,,,,,,,,,,,,,,,,,,,,,,,,
104,35,78,40,60,0,0,,,,,,,,,,,,,,,,,,,,,,,,
50,0,40,0,55,3,0,,,,,,,,,,,,,,,,,,,,,,,,
50,0,40,0,55,3,0,,,,,,,,,,,,,,,,,,,,,,,,
1126,540,1995,999,3368,87,6,,,,,,,,,,,,,,,,,,,,,,,,
1126,540,1995,999,3368,87,6.4,,,,,,,,,,,,,,,,,,,,,,,,
1126,540,1995,999,3368,87,6.4,,,,,,,,,,,,,,,,,,,,,,,,
1126,540,1995,999,3368,87,6.4,,,,,,,,,,,,,,,,,,,,,,,,
1126,540,1995,999,3368,87,6.4,,,,,,,,,,,,,,,,,,,,,,,,
1126,540,1995,999,3368,87,6.4,,,,,,,,,,,,,,,,,,,,,,,,
1126,540,1995,999,3368,87,6.4,,,,,,,,,,,,,,,,,,,,,,,,
1126,540,1995,999,3368,87,6.4,,,,,,,,,,,,,,,,,,,,,,,,
1126,540,1995,999,3368,87,6.4,,,,,,,,,,,,,,,,,,,,,,,,
1126,540,1995,999,3368,87,6.4,,,,,,,,,,,,,,,,,,,,,,,,
1126,540,1995,999,3368,87,6.4,,,,,,,,,,,,,,,,,,,,,,,,
1126,540,1995,999,3368,87,6,,,,,,,,,,,,,,,,,,,,,,,,
1126,540,1995,999,3368,87,6,,,,,,,,,,,,,,,,,,,,,,,,
92,61,84,40,50,7,1.6,,,,,,,,,,,,,,,,,,,,,,,,
92,61,84,40,50,7,1.6,,,,,,,,,,,,,,,,,,,,,,,,
92,61,84,40,50,7,1.6,,,,,,,,,,,,,,,,,,,,,,,,
1514,448,1852,710,2981,119,4,,,,,,,,,,,,,,,,,,,,,,,,
1514,448,1852,710,2981,119,4.2,,,,,,,,,,,,,,,,,,,,,,,,
1514,448,1852,710,2981,119,4.2,,,,,,,,,,,,,,,,,,,,,,,,
1514,448,1852,710,2981,119,4.2,,,,,,,,,,,,,,,,,,,,,,,,
1514,448,1852,710,2981,119,4.2,,,,,,,,,,,,,,,,,,,,,,,,
1514,448,1852,710,2981,119,4.2,,,,,,,,,,,,,,,,,,,,,,,,
1514,448,1852,710,2981,119,4.2,,,,,,,,,,,,,,,,,,,,,,,,
1514,448,1852,710,2981,119,4,,,,,,,,,,,,,,,,,,,,,,,,
1514,448,1852,710,2981,119,4.2,,,,,,,,,,,,,,,,,,,,,,,,
1514,448,1852,710,2981,119,4.2,,,,,,,,,,,,,,,,,,,,,,,,
1514,448,1852,710,2981,119,4.2,,,,,,,,,,,,,,,,,,,,,,,,
435,237,375,215,795,19,0.2,,,,,,,,,,,,,,,,,,,,,,,,
435,237,375,215,795,19,0,,,,,,,,,,,,,,,,,,,,,,,,
435,237,375,215,795,19,0.2,,,,,,,,,,,,,,,,,,,,,,,,
435,237,375,215,795,19,0.2,,,,,,,,,,,,,,,,,,,,,,,,
431,180,566,270,1132,14,5.5,,,,,,,,,,,,,,,,,,,,,,,,
431,180,566,270,1132,14,5,,,,,,,,,,,,,,,,,,,,,,,,
431,180,566,270,1132,14,5.5,,,,,,,,,,,,,,,,,,,,,,,,
