TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
医療機関名_x,手術総数,全身麻酔の手術総数,放射線治療,化学療法,,,,,,,,,,,,,,,うち、予定外の救急医療入院の患者（年間）,在棟患者延べ数（年間）,退棟患者数（年間）,新規入棟患者数（年間）.1,うち、院内の他病棟からの転棟（年間）,うち、家庭からの入院（年間）,うち、他の病院、診療所からの転院（年間）,うち、介護施設、福祉施設からの入院（年間）,うち、介護医療院からの入院（年間）,うち、院内の出生（年間）,うち、その他（年間）,構想区域人口
市立函館恵山病院,25,0,0,0,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,
医療法人社団玄心会吉田眼科病院,1157,60,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,
市立函館病院,417,163,20,40,,,,,,,,,,,,,,,,,,,,,,,,,,
市立函館病院,245,141,15,25,,,,,,,,,,,,,,,,,,,,,,,,,,
市立函館病院,322,169,20,35,,,,,,,,,,,,,,,,,,,,,,,,,,
市立函館病院,426,45,0,45,,,,,,,,,,,,,,,,,,,,,,,,,,
市立函館病院,546,88,45,128,,,,,,,,,,,,,,,,,,,,,,,,,,
市立函館病院,588,0,60,465,,,,,,,,,,,,,,,,,,,,,,,,,,
市立函館病院,445,60,60,570,,,,,,,,,,,,,,,,,,,,,,,,,,
市立函館病院,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
市立函館病院,615,308,50,194,,,,,,,,,,,,,,,,,,,,,,,,,,
市立函館病院,158,60,55,479,,,,,,,,,,,,,,,,,,,,,,,,,,
市立函館病院,150,67,55,65,,,,,,,,,,,,,,,,,,,,,,,,,,
市立函館病院,102,5,78,271,,,,,,,,,,,,,,,,,,,,,,,,,,
市立函館病院,736,662,5,25,,,,,,,,,,,,,,,,,,,,,,,,,,
市立函館病院,393,66,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,
社会福祉法人北海道社会事業協会函館病院,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
社会福祉法人北海道社会事業協会函館病院,45,0,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,
社会福祉法人北海道社会事業協会函館病院,55,0,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
社会福祉法人北海道社会事業協会函館病院,118,35,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,
社会福祉法人北海道社会事業協会函館病院,55,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
社会福祉法人北海道社会事業協会函館病院,10,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人同仁会函館記念病院,10,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人同仁会函館記念病院,10,0,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人同仁会函館記念病院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
